Model,Type,FID,FVD,SSIM,PSNR,E-FID,CSIM
1,face,300.9846800886696,1811.91604647681,0.2881675430494722,13.539774872893222,339.1753975237594,0.7364607710965242
1,hand,327.1012323264936,1597.6537348394486,0.2391647534446755,12.977145647061102,277.46610551537606,0.6806562510740929
1,wholebody,172.47326641047104,1356.494330598175,0.5730052475013132,17.742125522784036,187.58150176173703,0.7596874826610547
2,face,291.212542331632,1351.708325451874,0.3224746409660712,14.46781354480656,347.2427158773034,0.7870579447694817
2,hand,301.939540324545,1337.8158603781965,0.2621175526862359,14.018541012670427,255.5323387966056,0.7370981233604833
2,wholebody,163.65898592558156,1567.9381961697409,0.5433657108503697,16.06119368949884,216.9095575591832,0.8109322204871531
3,face,201.18331860811995,987.4468802119502,0.4168283658495338,16.993785660365102,273.9686895468557,0.8659264558857513
3,hand,242.0857478474039,1133.159592278358,0.3665904938842146,16.433628856461247,240.4776730645521,0.796095999782349
3,wholebody,92.76376824300868,750.5124435903504,0.6595882069948681,20.161531798354037,196.3944663180629,0.8959065675993433
4,face,430.4319863523807,2274.5875246527776,0.03584320913866536,1.5659628289675669,509.790374307123,0.0939583060669851
4,hand,389.6408879188699,2506.2268611328127,0.06121114346584835,2.8887111543512085,316.93535771035084,0.17539165620475744
4,wholebody,205.82072617660657,1032.5239658177422,0.4806196398500832,14.283020732609634,269.3250809195451,0.6778276298144977
5,face,191.65539089103655,952.322584335167,0.4570587039430208,17.823479378350264,246.94241506664164,0.8952972140300134
5,hand,194.6604923902682,916.4445681098088,0.4514358918271805,18.980174269571915,195.3370763282305,0.8727479540853101
5,wholebody,158.05173579128677,1210.8696617522487,0.5526295201077532,16.89939879520901,200.8352731059911,0.8300418888346908
6,wholebody,388.4472963697188,2958.351021289063,0.3878643613968269,14.454568955301404,354.4333617391196,0.8128055572887923
