Model,Type,SampleCount,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,Unnamed: 7
1,face,322,0.6506258048803124,0.7403521164252137,0.6312058797378025,0.14906832298136646,0.2817717332462346,39.400992270106265,
1,hand,322,0.6682813563068577,0.7798292850404183,0.46362408232266283,0.4813664596273292,0.24215774594441705,38.4022573221158,
2,face,193,0.5506586865441039,0.6805307679535736,0.5678254114676508,0.04145077720207254,0.21258749191316298,34.189896172649675,
2,hand,193,0.48153827495188123,0.6498002746129864,0.4964741881159199,0.5284974093264249,0.19019080706210953,27.69476405705454,
3,face,211,0.6650689487901144,0.7225802291944893,0.6340313930323572,0.25118483412322273,0.2509356364960919,33.676054275475245,
3,hand,211,0.5126707679044787,0.5744638859151442,0.42488139201429637,0.41706161137440756,0.18383365657657244,23.841739898768765,
4-mp4,face,47,0.1447814514051518,0.17577076620520757,0.13759143467544416,0.02127659574468085,0.05464549838228429,8.547086565612231,
4-mp4,hand,47,0.14675157877282768,0.1719322853652696,0.10186313603349095,0.10638297872340426,0.04902124341498029,8.807555872755183,
5,face,111,0.14405146454131873,0.15194137257464013,0.14174666599466018,0.0990990990990991,0.05590797141865567,6.71959880177935,
5,hand,111,0.13146672946043111,0.14211323099614476,0.12828399028139975,0.12612612612612611,0.049009009927242726,6.263300967017184,
6,face,110,0.1223,0.1515,0.1215,0.045454545,0.0299,4.5964,
6,hand,110,0.021286974877709555,0.02564624232104701,0.004878648800577866,0.00909090909090909,0.003938470035791396,0.8890686239347663,
1,raw,322,0.9344616658418724,0.945021597346904,0.9870584332925781,0.6739130434782609,0.4831774912265517,61.990447458355405,
2,raw,151,0.925465236195912,0.9429870605468752,0.984987464634023,0.9933774834437086,0.4316746906334201,63.54434404333403,
3,raw,191,0.9682559391937136,0.9630895185220928,0.9968592013972936,0.19895287958115182,0.46724541290268223,54.67410993922467,
6,raw,25,0.109039002,0.11092368516000001,0.11542542703999999,0.04,0.039009207520000005,5.161522686,1
4-mp4,raw,19,0.6918384140000001,0.6999291627368421,0.7286174968421053,0.10526315789473684,0.33880885966633123,43.87536271199293,
5,raw,86,0.2043275279131734,0.20146153071720796,0.20837326985239626,0.046511628,0.1012558264787807,9.995168284991742,
